"E5_agua2 - RawData"
"Wavelength nm."	"Abs."
729.000	0.010651
730.000	0.010300
731.000	0.010132
732.000	0.009750
733.000	0.009430
734.000	0.009079
735.000	0.008850
736.000	0.008560
737.000	0.008392
738.000	0.008179
739.000	0.007843
740.000	0.007599
741.000	0.007462
742.000	0.007248
743.000	0.007004
744.000	0.006821
745.000	0.006805
746.000	0.006546
747.000	0.006439
748.000	0.006332
749.000	0.006149
750.000	0.005951
751.000	0.005737
752.000	0.005630
753.000	0.005539
754.000	0.005417
755.000	0.005310
756.000	0.005249
757.000	0.005081
758.000	0.004974
759.000	0.004761
760.000	0.004715
761.000	0.004547
762.000	0.004410
763.000	0.004242
764.000	0.004410
765.000	0.004288
766.000	0.004166
767.000	0.004074
768.000	0.003952
769.000	0.003906
770.000	0.003876
771.000	0.003784
772.000	0.003647
773.000	0.003647
774.000	0.003677
775.000	0.003464
776.000	0.003479
777.000	0.003387
778.000	0.003220
779.000	0.003342
780.000	0.003296
781.000	0.003220
782.000	0.003159
783.000	0.003113
784.000	0.003098
785.000	0.002991
786.000	0.002869
787.000	0.002884
788.000	0.002884
789.000	0.002777
790.000	0.002747
791.000	0.002640
792.000	0.002686
793.000	0.002609
794.000	0.002625
795.000	0.002563
796.000	0.002518
797.000	0.002502
798.000	0.002594
799.000	0.002548
800.000	0.002502
801.000	 
802.000	 
803.000	 
804.000	 
805.000	 
806.000	 
807.000	 
808.000	 
809.000	 
810.000	 
811.000	 
812.000	 
813.000	 
814.000	 
815.000	 
816.000	 
817.000	 
818.000	 
819.000	 
820.000	 
821.000	 
822.000	 
823.000	 
824.000	 
825.000	 
826.000	 
827.000	 
828.000	 
829.000	 
830.000	 
831.000	 
832.000	 
833.000	 
834.000	 
835.000	 
836.000	 
837.000	 
838.000	 
839.000	 
840.000	 
841.000	 
842.000	 
843.000	 
844.000	 
845.000	 
846.000	 
847.000	 
848.000	 
849.000	 
850.000	 
851.000	 
852.000	 
853.000	 
854.000	 
855.000	 
856.000	 
857.000	 
858.000	 
859.000	 
860.000	 
861.000	 
862.000	 
863.000	 
864.000	 
865.000	 
866.000	 
867.000	 
868.000	 
869.000	 
870.000	 
871.000	 
872.000	 
873.000	 
874.000	 
875.000	 
876.000	 
877.000	 
878.000	 
879.000	 
880.000	 
881.000	 
882.000	 
883.000	 
884.000	 
885.000	 
886.000	 
887.000	 
888.000	 
889.000	 
890.000	 
891.000	 
892.000	 
893.000	 
894.000	 
895.000	 
896.000	 
897.000	 
898.000	 
899.000	 
900.000	 
901.000	 
902.000	 
903.000	 
904.000	 
905.000	 
906.000	 
907.000	 
908.000	 
909.000	 
910.000	 
911.000	 
912.000	 
913.000	 
914.000	 
915.000	 
916.000	 
917.000	 
918.000	 
919.000	 
920.000	 
921.000	 
922.000	 
923.000	 
924.000	 
925.000	 
926.000	 
927.000	 
928.000	 
929.000	 
930.000	 
931.000	 
932.000	 
933.000	 
934.000	 
935.000	 
936.000	 
937.000	 
938.000	 
939.000	 
940.000	 
941.000	 
942.000	 
943.000	 
944.000	 
945.000	 
